Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2021-07-16,1496328,5663,4982,0.38%,0.34%,26476,162,108,0.62%,0.42%,1421372,2516,94.99%,48480,1.77%,1.83%,241.61,13654.99
2021-07-15,1490665,5208,5011,0.35%,0.34%,26314,82,95,0.31%,0.37%,1418856,4039,95.18%,45495,1.77%,1.82%,240.13,13603.32
2021-07-14,1485457,3797,5050,0.26%,0.34%,26232,140,110,0.54%,0.43%,1414817,6183,95.24%,44408,1.77%,1.82%,239.38,13555.79
2021-07-13,1481660,3599,5118,0.24%,0.35%,26092,77,114,0.3%,0.44%,1408634,5716,95.07%,46934,1.76%,1.82%,238.11,13521.14
2021-07-12,1478061,5036,5188,0.34%,0.36%,26015,94,118,0.36%,0.46%,1402918,5515,94.92%,49128,1.76%,1.82%,237.4,13488.3
2021-07-11,1473025,5906,5237,0.4%,0.36%,25921,105,110,0.41%,0.43%,1397403,6068,94.87%,49701,1.76%,1.82%,236.55,13442.34
2021-07-10,1467119,5664,5243,0.39%,0.36%,25816,96,108,0.37%,0.42%,1391335,7502,94.83%,49968,1.76%,1.82%,235.59,13388.44
2021-07-09,1461455,5870,5277,0.4%,0.37%,25720,70,107,0.27%,0.42%,1383833,2934,94.69%,51902,1.76%,1.82%,234.71,13336.76
2021-07-08,1455585,5475,5321,0.38%,0.37%,25650,191,122,0.75%,0.48%,1380899,3767,94.87%,49036,1.76%,1.82%,234.07,13283.19
2021-07-07,1450110,4278,5364,0.3%,0.38%,25459,163,114,0.64%,0.45%,1377132,6209,94.97%,47519,1.76%,1.82%,232.33,13233.22
2021-07-06,1445832,4086,5396,0.28%,0.38%,25296,104,106,0.41%,0.42%,1370923,5963,94.82%,49613,1.75%,1.81%,230.84,13194.19
2021-07-05,1441746,5377,5451,0.37%,0.38%,25192,43,105,0.17%,0.42%,1364960,6448,94.67%,51594,1.75%,1.81%,229.89,13156.9
2021-07-04,1436369,5950,5482,0.42%,0.39%,25149,86,111,0.34%,0.45%,1358512,6821,94.58%,52708,1.75%,1.82%,229.5,13107.83
2021-07-03,1430419,5901,5501,0.41%,0.39%,25063,90,117,0.36%,0.48%,1351691,7628,94.5%,53665,1.75%,1.82%,228.72,13053.53
2021-07-02,1424518,6181,5638,0.44%,0.4%,24973,176,117,0.71%,0.48%,1344063,2090,94.35%,55482,1.75%,1.82%,227.9,12999.68
2021-07-01,1418337,5778,5725,0.41%,0.41%,24797,135,109,0.55%,0.45%,1341973,2725,94.62%,51567,1.75%,1.81%,226.29,12943.27
2021-06-30,1412559,4501,5761,0.32%,0.42%,24662,105,105,0.43%,0.43%,1339248,5784,94.81%,48649,1.75%,1.81%,225.06,12890.55
2021-06-29,1408058,4470,5738,0.32%,0.42%,24557,101,107,0.41%,0.44%,1333464,6361,94.7%,50037,1.74%,1.81%,224.1,12849.47
2021-06-28,1403588,5596,5621,0.4%,0.41%,24456,84,101,0.34%,0.42%,1327103,6053,94.55%,52029,1.74%,1.81%,223.18,12808.68
2021-06-27,1397992,6081,5568,0.44%,0.41%,24372,128,107,0.53%,0.45%,1321050,6830,94.5%,52570,1.74%,1.81%,222.41,12757.61
2021-06-26,1391911,6858,5527,0.5%,0.4%,24244,92,101,0.38%,0.42%,1314220,8612,94.42%,53447,1.74%,1.81%,221.24,12702.12
2021-06-25,1385053,6793,5540,0.49%,0.41%,24152,116,110,0.48%,0.46%,1305608,2794,94.26%,55293,1.74%,1.82%,220.4,12639.54
2021-06-24,1378260,6028,5543,0.44%,0.41%,24036,108,109,0.45%,0.46%,1302814,4372,94.53%,51410,1.74%,1.81%,219.34,12577.55
2021-06-23,1372232,4338,5629,0.32%,0.42%,23928,119,115,0.5%,0.49%,1298442,7053,94.62%,49862,1.74%,1.81%,218.36,12522.54
2021-06-22,1367894,3655,5780,0.27%,0.43%,23809,60,121,0.25%,0.52%,1291389,6746,94.41%,52696,1.74%,1.81%,217.27,12482.95
2021-06-21,1364239,5224,6027,0.38%,0.45%,23749,128,129,0.54%,0.56%,1284643,6928,94.17%,55847,1.74%,1.82%,216.73,12449.59
2021-06-20,1359015,5795,6197,0.43%,0.47%,23621,83,119,0.35%,0.51%,1277715,7472,94.02%,57679,1.74%,1.82%,215.56,12401.92
2021-06-19,1353220,6944,6410,0.52%,0.49%,23538,153,127,0.65%,0.55%,1270243,9128,93.87%,59439,1.74%,1.82%,214.8,12349.04
2021-06-18,1346276,6819,6561,0.51%,0.5%,23385,109,125,0.47%,0.55%,1261115,3341,93.67%,61776,1.74%,1.82%,213.4,12285.67
