Barangay,Active Cases,Total Confirmed Cases
Altura Bata,0,16
Altura Matanda,0,15
Altura-South,1,12
Ambulong,6,125
Banadero,2,31
Bagbag,1,42
Bagumbayan,3,140
Balele,5,99
Banjo East,6,102
Banjo Laurel (Banjo West),2,43
Bilog-bilog,2,93
Boot,2,35
Cale,1,52
Darasa,15,499
Pagaspas,4,96
Gonzales,0,14
Hidalgo,0,10
Janopol,0,24
Janopol Oriental,2,74
Laurel,1,18
Luyos,1,37
Mabini,0,38
Malaking Pulo,1,44
Maria Paz,0,9
Maugat,0,14
Montaña (Ik-ik),1,19
Natatas,6,65
Pantay Matanda,1,86
Pantay Bata,5,67
Poblacion Barangay 1,0,48
Poblacion Barangay 2,2,43
Poblacion Barangay 3,3,142
Poblacion Barangay 4,3,87
Poblacion Barangay 5,1,64
Poblacion Barangay 6,1,96
Poblacion Barangay 7,2,119
Sala,1,38
Sambat,1,94
San Jose,0,23
Santol (Doña Jacoba Garcia),0,3
Santor,4,89
Sulpoc,3,64
Suplang,1,20
Talaga,1,51
Tinurik,1,58
Trapiche,2,93
Ulango,0,43
Wawa,1,7
